Unit,Year,Internship Participation %,1 Internship %,2 Internships %,3+ Internships %,Paid Internship %,For-Credit Internship %,Accepted FT with Internship Employer %,Received FT Offer (Not Accepted) %,Pursued FT (No Offer) %,Did Not Pursue FT with Host %
University-Wide,2015,80,40,29,31,62,41,21,12,7,60
College of Agriculture and Natural Resources,2015,79,49,31,20,59,54,,,,
College of Arts and Humanities,2015,73,36,27,37,50,55,,,,
College of Behavioral and Social Sciences,2015,75,35,29,36,50,48,,,,
"College of Computer, Mathematical, and Natural Sciences",2015,72,45,29,27,67,22,,,,
College of Education,2015,96,60,24,16,10,84,,,,
College of Information,2015,,,,,,,,,,
The A. James Clark School of Engineering,2015,84,40,31,29,87,11,,,,
Philip Merrill College of Journalism,2015,100,11,26,62,62,97,,,,
"School of Architecture, Planning, and Preservation",2015,,,,,,,,,,
School of Public Health,2015,90,50,25,25,29,80,,,,
School of Public Policy,2015,,,,,,,,,,
The Robert H. Smith School of Business,2015,88,37,31,32,84,21,,,,
College Park Scholars,2015,88,25,32,43,67,44,,,,
Honors College,2015,87,30,30,40,73,30,,,,
Letters and Sciences,2015,78,40,30,30,59,43,,,,
Undergraduate Studies,2015,,,,,,,,,,
University-Wide,2016,80,32,26,42,63,40,21,14,7,58
College of Agriculture and Natural Resources,2016,81,43,29,28,50,50,,,,
College of Arts and Humanities,2016,71,38,26,37,49,56,,,,
College of Behavioral and Social Sciences,2016,73,36,26,38,49,48,,,,
"College of Computer, Mathematical, and Natural Sciences",2016,74,39,30,31,67,24,,,,
College of Education,2016,95,55,29,16,7,87,,,,
College of Information,2016,,,,,,,,,,
The A. James Clark School of Engineering,2016,81,34,40,26,90,5,,,,
Philip Merrill College of Journalism,2016,100,21,18,61,64,96,,,,
"School of Architecture, Planning, and Preservation",2016,,,,,,,,,,
School of Public Health,2016,83,43,32,25,33,72,,,,
School of Public Policy,2016,,,,,,,,,,
The Robert H. Smith School of Business,2016,99,1,7,92,88,20,,,,
College Park Scholars,2016,93,26,25,50,63,47,,,,
Honors College,2016,89,23,29,49,77,26,,,,
Letters and Sciences,2016,78,32,25,43,61,40,,,,
Undergraduate Studies,2016,,,,,,,,,,
University-Wide,2017,77,35,33,32,58,42,17,12,6,65
College of Agriculture and Natural Resources,2017,74,34,35,31,47,53,,,,
College of Arts and Humanities,2017,73,31,32,37,45,56,,,,
College of Behavioral and Social Sciences,2017,73,33,34,34,51,48,,,,
"College of Computer, Mathematical, and Natural Sciences",2017,75,38,35,27,70,24,,,,
College of Education,2017,93,34,25,41,15,76,,,,
College of Information,2017,,,,,,,,,,
The A. James Clark School of Engineering,2017,80,35,36,29,89,7,,,,
Philip Merrill College of Journalism,2017,99,21,22,57,65,97,,,,
"School of Architecture, Planning, and Preservation",2017,75,39,22,39,72,11,,,,
School of Public Health,2017,86,43,31,26,36,63,,,,
School of Public Policy,2017,,,,,,,,,,
The Robert H. Smith School of Business,2017,93,36,37,27,73,13,,,,
College Park Scholars,2017,90,25,35,40,66,45,,,,
Honors College,2017,83,26,37,37,74,32,,,,
Letters and Sciences,2017,76,32,25,43,52,42,,,,
Undergraduate Studies,2017,,,,,,,,,,
University-Wide,2018,84,34,32,34,48,29,11,8,5,76
College of Agriculture and Natural Resources,2018,86,36,31,33,53,65,,,,
College of Arts and Humanities,2018,80,35,30,35,57,51,,,,
College of Behavioral and Social Sciences,2018,77,33,30,38,41,40,,,,
"College of Computer, Mathematical, and Natural Sciences",2018,77,34,35,31,57,14,,,,
College of Education,2018,88,27,30,43,10,71,,,,
College of Information,2018,65,45,18,37,81,36,,,,
The A. James Clark School of Engineering,2018,85,28,43,29,98,5,,,,
Philip Merrill College of Journalism,2018,100,18,28,54,76,100,,,,
"School of Architecture, Planning, and Preservation",2018,71,55,25,20,100,30,,,,
School of Public Health,2018,86,42,29,30,33,62,,,,
School of Public Policy,2018,,,,,,,,,,
The Robert H. Smith School of Business,2018,63,63,9,27,73,13,,,,
College Park Scholars,2018,92,25,33,42,64,44,,,,
Honors College,2018,87,23,39,38,57,21,,,,
Letters and Sciences,2018,81,19,29,51,53,47,,,,
Undergraduate Studies,2018,,,,,,,,,,
University-Wide,2019,83,35,32,33,62,32,12,10,3,75
College of Agriculture and Natural Resources,2019,86,42,26,32,44,58,,,,
College of Arts and Humanities,2019,78,37,23,40,35,41,,,,
College of Behavioral and Social Sciences,2019,78,33,28,39,33,46,,,,
"College of Computer, Mathematical, and Natural Sciences",2019,80,23,38,38,53,17,,,,
College of Education,2019,93,26,30,44,7,80,,,,
College of Information,2019,69,23,38,38,47,2,,,,
The A. James Clark School of Engineering,2019,85,37,37,25,70,4,,,,
Philip Merrill College of Journalism,2019,100,18,22,60,54,85,,,,
"School of Architecture, Planning, and Preservation",2019,68,52,17,30,48,26,,,,
School of Public Health,2019,79,23,38,38,26,48,,,,
School of Public Policy,2019,100,23,38,38,54,69,,,,
The Robert H. Smith School of Business,2019,90,35,32,33,,,,,,
College Park Scholars,2019,88,27,32,41,49,42,,,,
Honors College,2019,90,27,31,42,49,20,,,,
Letters and Sciences,2019,80,62,34,28,62,32,,,,
Undergraduate Studies,2019,,,,,,,,,,
University-Wide,2020,82,34,33,33,57,31,13,9,4,73
College of Agriculture and Natural Resources,2020,89,41,31,28,50,50,,,,
College of Arts and Humanities,2020,72,38,28,34,57,53,,,,
College of Behavioral and Social Sciences,2020,78,31,32,37,57,47,,,,
"College of Computer, Mathematical, and Natural Sciences",2020,80,35,35,30,75,17,,,,
College of Education,2020,89,31,29,40,12,88,,,,
College of Information,2020,67,45,29,26,81,7,,,,
The A. James Clark School of Engineering,2020,85,35,35,30,92,7,,,,
Philip Merrill College of Journalism,2020,83,28,34,38,79,96,,,,
"School of Architecture, Planning, and Preservation",2020,80,43,37,20,80,16,,,,
School of Public Health,2020,84,45,30,25,58,70,,,,
School of Public Policy,2020,97,19,42,39,74,68,,,,
The Robert H. Smith School of Business,2020,92,25,38,37,,,,,,
College Park Scholars,2020,91,21,36,43,56,38,,,,
Honors College,2020,91,26,34,40,69,22,,,,
Letters and Sciences,2020,79,37,33,30,58,32,,,,
Undergraduate Studies,2020,,,,,,,,,,
University-Wide,2021,75,37,33,29,77,36,12,8,6,74
College of Agriculture and Natural Resources,2021,82,45,32,23,79,70,,,,
College of Arts and Humanities,2021,66,37,31,32,69,64,,,,
College of Behavioral and Social Sciences,2021,71,37,28,35,65,64,,,,
"College of Computer, Mathematical, and Natural Sciences",2021,71,35,37,28,88,17,,,,
College of Education,2021,93,32,25,43,0,100,,,,
College of Information,2021,52,42,40,18,87,,,,,
The A. James Clark School of Engineering,2021,79,39,33,28,96,7,,,,
Philip Merrill College of Journalism,2021,100,23,32,45,71,100,,,,
"School of Architecture, Planning, and Preservation",2021,65,62,27,11,,,,,,
School of Public Health,2021,74,53,32,15,56,65,,,,
School of Public Policy,2021,95,35,25,40,,,,,,
The Robert H. Smith School of Business,2021,88,31,36,33,,,,,,
College Park Scholars,2021,85,25,34,41,86,48,,,,
Honors College,2021,91,27,35,38,87,29,,,,
Letters and Sciences,2021,70,45,31,24,77,31,,,,
Undergraduate Studies,2021,,,,,,,,,,
University-Wide,2022,75,40,32,29,76,34,14,12,3,71
College of Agriculture and Natural Resources,2022,73,38,36,26,93,54,,,,
College of Arts and Humanities,2022,73,38,27,35,74,63,,,,
College of Behavioral and Social Sciences,2022,70,40,29,31,72,48,,,,
"College of Computer, Mathematical, and Natural Sciences",2022,72,31,31,28,93,16,,,,
College of Education,2022,94,39,26,35,26,87,,,,
College of Information,2022,69,46,36,18,97,14,,,,
The A. James Clark School of Engineering,2022,78,34,33,33,95,7,,,,
Philip Merrill College of Journalism,2022,97,24,39,37,40,77,,,,
"School of Architecture, Planning, and Preservation",2022,72,67,27,6,94,19,,,,
School of Public Health,2022,63,43,38,19,45,53,,,,
School of Public Policy,2022,100,22,17,61,,,,,,
The Robert H. Smith School of Business,2022,82,39,31,30,,,,,,
College Park Scholars,2022,83,38,31,31,83,42,,,,
Honors College,2022,84,37,33,30,87,27,,,,
Letters and Sciences,2022,71,24,33,43,72,31,,,,
Undergraduate Studies,2022,,,,,,,,,,
University-Wide,2023,79,40,26,26,79,36,17,11,4,69
College of Agriculture and Natural Resources,2023,78,44,33,23,74,61,,,,
College of Arts and Humanities,2023,75,40,29,31,68,66,,,,
College of Behavioral and Social Sciences,2023,73,36,31,33,64,49,,,,
"College of Computer, Mathematical, and Natural Sciences",2023,80,39,39,26,88,15,,,,
College of Education,2023,93,22,56,22,10,100,,,,
College of Information,2023,68,54,31,15,84,16,,,,
The A. James Clark School of Engineering,2023,83,42,37,21,98,5,,,,
Philip Merrill College of Journalism,2023,97,10,34,55,72,80,,,,
"School of Architecture, Planning, and Preservation",2023,85,55,32,13,100,33,,,,
School of Public Health,2023,73,50,34,16,53,64,,,,
School of Public Policy,2023,100,27,37,37,100,96,,,,
The Robert H. Smith School of Business,2023,83,39,34,27,95,22,,,,
College Park Scholars,2023,90,32,35,33,77,44,,,,
Honors College,2023,92,29,34,37,87,22,,,,
Letters and Sciences,2023,76,44,32,24,79,32,,,,
Undergraduate Studies,2023,,,,,,,,,,
University-Wide,2024,78,41,27,27,77,37,15,9,4,72
College of Agriculture and Natural Resources,2024,80,39,38,23,78,72,,,,
College of Arts and Humanities,2024,72,36,26,38,63,68,,,,
College of Behavioral and Social Sciences,2024,75,46,28,26,68,52,,,,
"College of Computer, Mathematical, and Natural Sciences",2024,76,31,31,27,84,16,,,,
College of Education,2024,89,31,24,45,20,98,,,,
College of Information,2024,66,50,34,17,90,13,,,,
The A. James Clark School of Engineering,2024,88,40,38,22,97,4,,,,
Philip Merrill College of Journalism,2024,100,26,28,46,67,94,,,,
"School of Architecture, Planning, and Preservation",2024,53,41,48,11,96,39,,,,
School of Public Health,2024,69,42,33,25,54,57,,,,
School of Public Policy,2024,100,16,40,44,76,85,,,,
The Robert H. Smith School of Business,2024,85,38,33,29,,,,,,
College Park Scholars,2024,86,18,27,55,82,38,,,,
Honors College,2024,88,29,36,35,88,28,,,,
Letters and Sciences,2024,74,46,31,23,76,33,,,,
Undergraduate Studies,2024,,,,,,,,,,